Date,CODE,Close
1/3/2011,EGAD,52.5
1/3/2011,KUKZ,81.5
1/3/2011,KAPC,100
1/3/2011,LIMT,300
1/3/2011,SASN,13.35
1/3/2011,WTK,185
1/3/2011,CGEN,45.5
1/3/2011,ABSA,64
1/3/2011,COOP,19.45
1/3/2011,DTK,140
1/3/2011,EQTY,27
1/3/2011,HFCK,26.5
1/3/2011,KCB,22.25
1/3/2011,NBK,40.25
1/3/2011,NCBA,46.25
1/3/2011,SBIC,76.5
1/3/2011,SCBK,259.5
1/3/2011,EVRD,3.2
1/3/2011,XPRS,7.75
1/3/2011,KQ,46.75
1/3/2011,NMG,161
1/3/2011,SMER,7.65
1/3/2011,SGL,45.5
1/3/2011,TPSE,68
1/3/2011,UCHM,14.5
1/3/2011,SCAN,61
1/3/2011,ARM,180
1/3/2011,BAMB,190
1/3/2011,CRWN,32.5
1/3/2011,CABL,16.35
1/3/2011,PORT,80
1/3/2011,KENO,10.05
1/3/2011,KEGN,16.95
1/3/2011,KPLC-P4,7.65
1/3/2011,KPLC-P7,5.5
1/3/2011,KPLC,25.75
1/3/2011,TOTL,28.75
1/3/2011,JUB,195
1/3/2011,KNRE,11
1/3/2011,SLAM,65.5
1/3/2011,OCH,5.95
1/3/2011,CARB,153
1/3/2011,EABL,208
1/3/2011,ORCH,3
1/3/2011,MSC,9.65
1/3/2011,UNGA,10.55
1/4/2011,EGAD,52.5
1/4/2011,KUKZ,81.5
1/4/2011,KAPC,100
1/4/2011,LIMT,300
1/4/2011,SASN,13.65
1/4/2011,WTK,185
1/4/2011,CGEN,46
1/4/2011,ABSA,64
1/4/2011,COOP,19.45
1/4/2011,DTK,138
1/4/2011,EQTY,27.25
1/4/2011,HFCK,26.65
1/4/2011,KCB,22.25
1/4/2011,NBK,42.25
1/4/2011,NCBA,48.5
1/4/2011,SBIC,77.5
1/4/2011,SCBK,260.75
1/4/2011,EVRD,3.05
1/4/2011,XPRS,7.75
1/4/2011,KQ,47
1/4/2011,NMG,163
1/4/2011,SMER,7.5
1/4/2011,SGL,45
1/4/2011,TPSE,68
1/4/2011,UCHM,14.5
1/4/2011,SCAN,61.5
1/4/2011,ARM,178
1/4/2011,BAMB,190
1/4/2011,CRWN,32.5
1/4/2011,CABL,16.4
1/4/2011,PORT,80.5
1/4/2011,KENO,10.05
1/4/2011,KEGN,17
1/4/2011,KPLC-P4,7.65
1/4/2011,KPLC-P7,5.5
1/4/2011,KPLC,24.5
1/4/2011,TOTL,28.75
1/4/2011,JUB,195
1/4/2011,KNRE,11.35
1/4/2011,SLAM,65.5
1/4/2011,OCH,6
1/4/2011,CARB,153
1/4/2011,EABL,211
1/4/2011,ORCH,3
1/4/2011,MSC,9.65
1/4/2011,UNGA,11.35
1/5/2011,EGAD,52.5
1/5/2011,KUKZ,81.5
1/5/2011,KAPC,100
1/5/2011,LIMT,300
1/5/2011,SASN,13.7
1/5/2011,WTK,198
1/5/2011,CGEN,46
1/5/2011,ABSA,65
1/5/2011,COOP,19.5
1/5/2011,DTK,140
1/5/2011,EQTY,28
1/5/2011,HFCK,27.05
1/5/2011,KCB,22.75
1/5/2011,NBK,42.75
1/5/2011,NCBA,47.75
1/5/2011,SBIC,79.5
1/5/2011,SCBK,265.5
1/5/2011,EVRD,3
1/5/2011,XPRS,7.75
1/5/2011,KQ,46.75
1/5/2011,NMG,165
1/5/2011,SMER,7.5
1/5/2011,SGL,42
1/5/2011,TPSE,67.5
1/5/2011,UCHM,14.5
1/5/2011,SCAN,62
1/5/2011,ARM,180
1/5/2011,BAMB,199
1/5/2011,CRWN,34.5
1/5/2011,CABL,16.45
1/5/2011,PORT,80.5
1/5/2011,KENO,10
1/5/2011,KEGN,17
1/5/2011,KPLC-P4,7.65
1/5/2011,KPLC-P7,5.5
1/5/2011,KPLC,24.75
1/5/2011,TOTL,29.25
1/5/2011,JUB,185
1/5/2011,KNRE,11.6
1/5/2011,SLAM,65.5
1/5/2011,OCH,6
1/5/2011,CARB,153
1/5/2011,EABL,213
1/5/2011,ORCH,3
1/5/2011,MSC,9.75
1/5/2011,UNGA,11.15
1/6/2011,EGAD,52.5
1/6/2011,KUKZ,83
1/6/2011,KAPC,110
1/6/2011,LIMT,300
1/6/2011,SASN,13.7
1/6/2011,WTK,206
1/6/2011,CGEN,48
1/6/2011,ABSA,66
1/6/2011,COOP,19.8
1/6/2011,DTK,140
1/6/2011,EQTY,29
1/6/2011,HFCK,27.45
1/6/2011,KCB,23.5
1/6/2011,NBK,43
1/6/2011,NCBA,48.75
1/6/2011,SBIC,81
1/6/2011,SCBK,268
1/6/2011,EVRD,3.15
1/6/2011,XPRS,7.8
1/6/2011,KQ,47.25
1/6/2011,NMG,169
1/6/2011,SMER,7.55
1/6/2011,SGL,44
1/6/2011,TPSE,68
1/6/2011,UCHM,14.5
1/6/2011,SCAN,63
1/6/2011,ARM,182
1/6/2011,BAMB,192
1/6/2011,CRWN,36.25
1/6/2011,CABL,16.35
1/6/2011,PORT,80.5
1/6/2011,KENO,10
1/6/2011,KEGN,17.05
1/6/2011,KPLC-P4,7.65
1/6/2011,KPLC-P7,5.5
1/6/2011,KPLC,25
1/6/2011,TOTL,29.25
1/6/2011,JUB,201
1/6/2011,KNRE,11.85
1/6/2011,SLAM,72
1/6/2011,OCH,6.05
1/6/2011,CARB,153
1/6/2011,EABL,227
1/6/2011,ORCH,3
1/6/2011,MSC,10.25
1/6/2011,UNGA,10.95
1/7/2011,EGAD,52
1/7/2011,KUKZ,82.5
1/7/2011,KAPC,121
1/7/2011,LIMT,300
1/7/2011,SASN,13.6
1/7/2011,WTK,213
1/7/2011,CGEN,48
1/7/2011,ABSA,67.5
1/7/2011,COOP,20
1/7/2011,DTK,143
1/7/2011,EQTY,29.5
1/7/2011,HFCK,27.85
1/7/2011,KCB,24.25
1/7/2011,NBK,43
1/7/2011,NCBA,50
1/7/2011,SBIC,81.5
1/7/2011,SCBK,273.25
1/7/2011,EVRD,3.1
1/7/2011,XPRS,7.75
1/7/2011,KQ,48
1/7/2011,NMG,172
1/7/2011,SMER,7.5
1/7/2011,SGL,44
1/7/2011,TPSE,68
1/7/2011,UCHM,14.5
1/7/2011,SCAN,65.5
1/7/2011,ARM,180
1/7/2011,BAMB,194
1/7/2011,CRWN,36.5
1/7/2011,CABL,16.45
1/7/2011,PORT,80.5
1/7/2011,KENO,10.05
1/7/2011,KEGN,17.05
1/7/2011,KPLC-P4,7.65
1/7/2011,KPLC-P7,5.5
1/7/2011,KPLC,25
1/7/2011,TOTL,29.75
1/7/2011,JUB,201
1/7/2011,KNRE,11.95
1/7/2011,SLAM,72
1/7/2011,OCH,6.05
1/7/2011,CARB,153
1/7/2011,EABL,219
1/7/2011,ORCH,3
1/7/2011,MSC,10.4
1/7/2011,UNGA,11.25
1/10/2011,EGAD,57
1/10/2011,KUKZ,82.5
1/10/2011,KAPC,132
1/10/2011,LIMT,300
1/10/2011,SASN,13
1/10/2011,WTK,219
1/10/2011,CGEN,48
1/10/2011,ABSA,66.5
1/10/2011,COOP,20.5
1/10/2011,DTK,141
1/10/2011,EQTY,29.5
1/10/2011,HFCK,27.7
1/10/2011,KCB,24.25
1/10/2011,NBK,43
1/10/2011,NCBA,49
1/10/2011,SBIC,82.5
1/10/2011,SCBK,272
1/10/2011,EVRD,3.15
1/10/2011,XPRS,8
1/10/2011,KQ,47.5
1/10/2011,NMG,174
1/10/2011,SMER,7.45
1/10/2011,SGL,41.5
1/10/2011,TPSE,67.5
1/10/2011,UCHM,14.5
1/10/2011,SCAN,66.5
1/10/2011,ARM,183
1/10/2011,BAMB,193
1/10/2011,CRWN,35
1/10/2011,CABL,16.35
1/10/2011,PORT,85
1/10/2011,KENO,10
1/10/2011,KEGN,17
1/10/2011,KPLC-P4,7.65
1/10/2011,KPLC-P7,5.5
